Dataset ID,Target,SP-3,MQ-3,TGS-822,MQ-138,MQ-137,TGS-813,TGS-800,MQ-135,TGS-2600,TGS-2602,TGS-2611,TGS-2610,TGS-2620,TGS-826,MQ-2,MQ-7,MICS-5524
2,Smoker,2.203845417952577,5.268580942107684,1.7062113012700282,1.7785924586180042,3.424310739156617,4.555881879253034,2.4404449627701483,3.77190846982527,,,,,,,,,
2,Smoker,0.3953989501205529,1.2208714588411642,0.3332613931039543,0.4503115586187066,0.4100360882226195,0.5747958128046021,0.2969525910269546,0.5992501220958063,,,,,,,,,
2,Smoker,0.1468235743125854,0.7748438937840187,0.1212787236910125,-0.1528586771793028,-0.2104582748333307,0.1941148821250383,-0.0045030571219686,0.00705799992446,,,,,,,,,
2,Smoker,-0.0634955413918423,0.3065893298857748,-0.352471902039057,-0.992339083429122,-0.7293233091845922,-0.4400831022232198,-0.3192922185681363,-0.6192980598954849,,,,,,,,,
2,Smoker,0.0355329622260703,0.0638653267554794,-0.4062762655179446,-1.0486369417316446,-0.8384974369329654,-0.4457371795355672,-0.1640647185957119,-0.5307799292101155,,,,,,,,,
2,Smoker,0.259792663819015,-0.0582349594904485,0.1629535713861136,-0.4604814145459133,-0.3204373194889663,-0.7916609779472911,0.0648291993469019,-0.1690425237660798,,,,,,,,,
2,Smoker,0.7513476144382163,0.2344133134428937,0.9387001727127848,0.4031562175791103,0.0878095382463109,-0.3199439045161375,0.6575492017512959,0.1544626839188482,,,,,,,,,
2,Smoker,-0.043874137713491,-0.3279060801454771,0.0600011338011025,-0.9355507899544568,-0.8576891676070376,-0.901578114429266,-0.225004647518696,-0.586672029825555,,,,,,,,,
2,Smoker,-0.626467210995329,-0.7291954825266668,-1.1368210329798554,-1.3519292750159502,-0.9540546005849072,-0.1448707109624321,-0.8296523883597051,-0.8164845751388787,,,,,,,,,
2,Smoker,-0.3349744396839682,-0.3970725269986192,-0.1356867135761527,-0.081226356782674,0.0028224552683467,-0.3705874957054758,-0.6591623525920395,-0.0749385875758199,,,,,,,,,
2,Smoker,-0.6991380306130494,-0.6055138924927836,-0.6092165123381534,-0.5892596940641954,-0.5226988156951391,-0.265722419651733,-0.8900393213146645,-0.4997947429562568,,,,,,,,,
2,Smoker,-0.1943270135078006,-0.1782733535133574,0.2257595656714616,0.4149281874333643,0.2340045601530271,0.0395243214215325,0.0350288115301639,0.4198336270536327,,,,,,,,,
2,Smoker,2.1268067971957323,-0.2644018437501226,1.8643623519584087,-0.516016825979839,-0.5044678319984178,0.3737362151614173,1.0359481826175736,-0.3921402490925098,,,,,,,,,
2,Smoker,0.6959105115534596,-0.0989861214489463,0.7371777729924488,0.5222472166104338,0.3741780446369383,0.4940964618706612,0.6483883895619025,0.5540156043228006,,,,,,,,,
2,Smoker,0.3981309125418742,-0.2619810071290495,0.333854066862335,0.1170654756832437,0.0076726472513214,0.3348064250111441,0.6130944843898216,0.2102967278029042,,,,,,,,,
2,Smoker,0.6698064752323329,-0.1431674867157475,1.014052967339231,0.3664016232450824,0.1867129134199082,0.4718543563916005,0.6874099004532611,0.4685444774068244,,,,,,,,,
2,Smoker,-0.8798014241477852,0.090927419127538,-0.5303521170443378,-0.752197548959207,-0.7122587102474426,-1.0336844552730144,-1.2735984115299903,-0.5225286745957194,,,,,,,,,
2,Smoker,-0.9091405658703576,-0.1968389189584922,-0.60561803983672,-0.5942214729558631,-0.6880486890724717,-0.8599085788941893,-1.024266454387616,-0.401734400502599,,,,,,,,,
2,Smoker,-0.9962122509614112,-0.4607867448977337,-0.4930439766234961,-0.5656790796298643,-0.8234972243088736,-0.91080844602672,-1.1145290035524476,-0.4701426877340909,,,,,,,,,
2,Smoker,-0.9707594485717164,-0.5144528514869325,-0.5274969760108528,-0.4650644068319375,-0.7997908813321478,-0.8066294575794749,-1.0340459015621617,-0.3287720345608922,,,,,,,,,
2,Smoker,-0.9453626662603376,-0.840053554965636,-1.1952093459279884,-0.7180062317548134,-0.6389727111562925,-0.6882979373131606,-1.4047179630012716,-0.437028501921127,,,,,,,,,
2,Smoker,-0.738378742200114,-0.4753282258395837,-0.2589933021366664,-0.4769803212236212,-0.4139418307730194,-0.4339776737869675,-0.8034083064112095,-0.4356957864369856,,,,,,,,,
2,Smoker,-0.3299598852027731,-0.1428846647603664,0.0382555361112605,0.470896271759476,0.2336427933046065,-0.0843660005670898,-0.1838081901555444,-0.0431694756114616,,,,,,,,,
2,Smoker,-0.8853331595541309,-0.6928916449449122,-0.9701380069706508,-1.049529033606205,-0.8675774333379694,-0.8498238060818916,-1.3054611020442948,-1.0029391907770178,,,,,,,,,
2,Smoker,-0.7588578030996219,0.1708888746617607,-0.8141622972754581,0.0190787509527346,0.3753598957794271,-0.294766397126432,-0.3821630809112878,-0.3464060834773443,,,,,,,,,
2,Smoker,-1.200719353298061,-0.4838760176265928,-1.1540990401393807,-0.9405520381921716,-0.4833381583835224,-0.7805717833307233,-0.9347657651002844,-0.9209783966003214,,,,,,,,,
2,Smoker,-0.2963081603457368,-0.4305326800567799,0.697342498051103,0.317453900839263,0.0937593390717824,-0.1489797555839851,0.2274431713905852,-0.0125968465043227,,,,,,,,,
2,Smoker,0.4148558113729554,0.8109542466976855,-0.1995541785447056,1.948434384090128,2.485749524563987,1.6078618038938832,1.0548512736930422,2.471007483298795,,,,,,,,,
2,Smoker,0.1952651957387981,1.4097238014532107,-1.2026080433102528,1.8044635129702908,2.377496183061034,1.0111164289559402,-0.2025539167362407,2.3736054388854195,,,,,,,,,
2,Smoker,-0.1650086707687136,-0.4057257790757504,-0.1293153474460825,0.6104067689195738,0.13120608114775,-0.4213377166928699,0.4872020028313557,-0.2550125911323105,,,,,,,,,
2,Smoker,0.2981859155366944,0.2987290328765634,0.831244875381486,1.816913690902847,1.1621526289333903,0.3247616467672905,1.0118289553284383,0.6528226438824077,,,,,,,,,
2,Smoker,-0.1808863437489916,-0.1099806445541094,-0.0046599090943266,0.8108573134775096,0.1761390951734119,-0.5542459361054144,0.3745875968610643,-0.026219832177863,,,,,,,,,
2,Smoker,0.1666150070291951,-0.561464787919377,0.9435930158242596,0.4045637639721863,0.1658328370777935,0.5031141837093351,0.1862013161427005,-0.4729940610599463,,,,,,,,,
2,Smoker,-1.023815150918369,-1.1117804268584772,-0.8522805550704453,-1.40047302224002,-1.2647772717174988,-0.6916728217948459,-0.9978812957332736,-1.536665000426893,,,,,,,,,
